start_time,total_flight_time,total_flight_distance,is_collided,safety_ratio_agent,average_planning_time,min_planning_time,max_planning_time,initial_traj_planning_time,safety_ratio_obs,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,prediction_mode,initial_traj_mode,slack_mode,goal_mode,world_dimension,dt,horizon,N_constraint_segments
1690234086.977602689,1e+09,206.145,1,0.999999,0.0419272,0.0175927,0.140915,1.77426e-06,1e+09,0.00209472,0.000185656,0.000615066,0.0389536,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_0.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690234468.547760474,32.2,234.579,0,1.00304,0.0391689,0.0189699,0.117948,1.83245e-06,1e+09,0.00337985,0.000186767,0.000601603,0.034919,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_1.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690234662.359301359,28.2,197.008,0,1.00074,0.0358552,0.0178835,0.119853,1.81051e-06,1e+09,0.0023795,0.000183049,0.000613568,0.0326001,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_10.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690234818.059434763,1e+09,226.623,0,1,0.0412815,0.0162508,0.109634,2.18726e-06,1e+09,0.00280326,0.000192904,0.000837787,0.0373353,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_11.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690235193.922702927,32,205.852,0,1.00526,0.0381247,0.0191629,0.113347,2.43368e-06,1e+09,0.00286052,0.000186531,0.000643026,0.0343506,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_12.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690235381.526065813,1e+09,233.248,0,1.00149,0.0364609,0.0182461,0.144526,2.50092e-06,1e+09,0.00226847,0.000185738,0.000664248,0.0332576,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_13.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690235714.055679799,28,196.115,0,1.0056,0.0354451,0.0188083,0.0983251,2.36853e-06,1e+09,0.0026916,0.000183636,0.000623026,0.0318647,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_14.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690235867.024862294,1e+09,173.6,0,1,0.0352222,0.0195874,0.133082,2.45255e-06,1e+09,0.00190507,0.000184949,0.0006198,0.0324298,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_15.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690236188.474418965,37.6,191.789,0,1.00495,0.0342037,0.0183569,0.125335,2.18631e-06,1e+09,0.00221046,0.000176252,0.000595035,0.0311449,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_16.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690236386.059196829,1e+09,168.844,0,1,0.0355034,0.0174506,0.106902,2.10939e-06,1e+09,0.00220176,0.000175371,0.000573793,0.0324777,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_17.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690236709.695238137,27.4,195.38,0,1.00042,0.0355466,0.0179416,0.119924,2.1213e-06,1e+09,0.00252219,0.000171916,0.000578194,0.0321996,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_18.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690236859.681171493,25.6,210.375,0,1.00091,0.0377349,0.0164273,0.186865,2.12007e-06,1e+09,0.00245141,0.000174678,0.000552976,0.034482,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_19.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237008.456236414,28.8,204.197,0,1.00147,0.0361068,0.0173916,0.129462,2.17754e-06,1e+09,0.00255841,0.000173823,0.000569437,0.0327305,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_2.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237168.486987784,36.4,240.237,0,1.00115,0.0365997,0.0168815,0.14298,2.10575e-06,1e+09,0.00312672,0.000175058,0.000589679,0.0326324,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_20.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237372.971301717,30.8,228.619,0,1.00176,0.0367559,0.016721,0.102255,2.11664e-06,1e+09,0.00267034,0.000174556,0.000563506,0.033273,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_21.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237547.031212159,33.8,204.661,0,1.00031,0.0361066,0.0166388,0.0955558,2.13423e-06,1e+09,0.00259794,0.000174326,0.000551101,0.0327089,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_22.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237734.475958753,30.2,201.59,0,1.00225,0.0343515,0.0188485,0.139517,2.16099e-06,1e+09,0.00228898,0.000171652,0.000561841,0.0312547,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_23.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690237894.145195099,36.8,227.221,0,1.00012,0.0344731,0.0181745,0.124344,2.0938e-06,1e+09,0.00265069,0.000173526,0.000578749,0.0309945,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_24.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690238088.952607787,1e+09,252.021,0,1.0006,0.0356535,0.0174234,0.127551,2.15928e-06,1e+09,0.00241819,0.000174427,0.000603546,0.0323824,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_25.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690238413.869451486,1e+09,207.21,1,1,0.0356503,0.0178713,0.112807,2.17671e-06,1e+09,0.0019606,0.000174452,0.000587103,0.0328524,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_26.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690238738.756615617,1e+09,211.183,0,1,0.0372671,0.0160699,0.108297,2.12073e-06,1e+09,0.00222286,0.000175177,0.00058007,0.0342141,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_27.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690239078.219780863,25,204.948,0,1.00462,0.0326776,0.0181404,0.0952986,2.17184e-06,1e+09,0.0025437,0.000175495,0.000600966,0.0292812,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_28.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690239204.410506802,1e+09,186.22,1,1,0.0339445,0.0176696,0.107787,2.14048e-06,1e+09,0.00198239,0.000174357,0.000590471,0.0311225,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_29.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690239514.114035343,32.4,226.333,0,1.0006,0.0352873,0.0176993,0.164277,2.09381e-06,1e+09,0.002696,0.000173484,0.000561284,0.0317819,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_3.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690239689.844619980,37.4,203.298,0,1.0031,0.0354979,0.0192868,0.11277,2.08037e-06,1e+09,0.00212205,0.000172069,0.000591189,0.0325382,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_4.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690239893.566405193,1e+09,218.854,1,1,0.038008,0.0182791,0.149533,2.12979e-06,1e+09,0.00224319,0.000173945,0.000574435,0.0349417,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_5.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690240239.651488836,30.2,196.249,0,1.00106,0.0341713,0.0181715,0.112675,2.12085e-06,1e+09,0.00237957,0.000173969,0.000565416,0.0309768,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_6.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690240398.574343827,33.2,216.912,0,1.00907,0.0356064,0.0184254,0.0994238,2.19672e-06,1e+09,0.0026078,0.000173779,0.000568487,0.0321817,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_7.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690240580.205894693,1e+09,200.544,0,1,0.035576,0.0179938,0.155633,2.07137e-06,1e+09,0.00196306,0.000173546,0.000573571,0.0327925,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_8.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690240904.419147066,1e+09,187.315,1,1,0.0366076,0.014858,0.139281,2.13716e-06,1e+09,0.00201881,0.000174316,0.00057202,0.0337684,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_30_9.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
